cas_number,chemical_name,formula,ip_ev,pel_ppm,rel,tlv_ppm,stel_ppm,idlh_ppm,aegl_1,aegl_2,aegl_3,conversion,notes,include
1310-73-2,Sodium Hydroxide,,NA,2 mg/m³,(C) 2 mg/m³,(C) 2 mg/m³,,10 mg/m³,0.5 mg/m³ (ERPG-1),5 mg/m³ (ERPG-2),50 mg/m³ (ERPG-3),NA,,
100-42-5,Styrene,,8.43,100 ppm (C) 200 ppm 600 ppm (5-min max in any 3 hours),50 ppm (ST) 100 ppm,50 ppm (ST) 100 ppm,,700 ppm,20 ppm (AEGL-1),130 ppm (AEGL-2),1100(1) ppm (AEGL-3),1 ppm = 4.26 mg/m³,,
7446-09-5,Sulfur Dioxide,,12.32,5 ppm (13 mg/m³),2 ppm (ST) 5 ppm,(ST) 0.25 ppm,,100 ppm,0.2 ppm (AEGL-1),0.75 ppm (AEGL-2),30 ppm (AEGL-3),1 ppm = 2.62 mg/m³,,
7664-93-9,Sulfuric Acid,,12.4,1 mg/m³,1 mg/m³,0.2 mg/m³ (as Thoracic fraction),,15 mg/m³,0.2 mg/m³ (AEGL-1),8.7 mg/m³ (AEGL-2),160 mg/m³ (AEGL-3),NA,,
127-18-4,Tetrachloroethylene (PCE),,9.32,100 ppm (C) 200 ppm,NA - potential carcinogen,25 ppm (ST) 100 ppm,,Ca 150 ppm,35 ppm 238 mg/m³ (AEGL-1),"230 ppm 1,564 mg/m³ (AEGL-2)","1,200 ppm 8,160 mg/m³ (AEGL-3)",1 ppm = 6.78 mg/m³,,
108-88-3,Toluene,,8.82,200 ppm (C) 300 ppm 500 ppm {10 minute maximum peak},100 ppm (ST) 150 ppm,20 ppm,,500 ppm,67 ppm (AEGL-1),560 ppm (AEGL-2),3700(1) ppm (AEGL-3),1 ppm = 3.77 mg/m³,,
79-01-6,Trichloroethylene (TCE),,9.47,100 ppm (C) 200 ppm,NA - potential carcinogen,10 ppm (ST) 25 ppm,,Ca 1000 ppm,130 ppm (AEGL-1),450 ppm (AEGL-2),"3,800 ppm (AEGL-3)",1 ppm = 5.37 mg/m³,,
75-01-4,Vinyl Chloride,,9.99,1 ppm,NA - potential carcinogen,1 ppm,,NA,250 ppm (AEGL-1),"1,200 ppm (AEGL-2)","4,800(1) ppm (AEGL-3)",1 ppm = 2.56 mg/m³,,
108-38-3,Xylenes: m-Xylene,,8.56,100 ppm (435 mg/m³),100 ppm (ST) 150 ppm,100 ppm (ST) 150 ppm,,900 ppm,130 ppm 560 mg/m³ (AEGL-1),"920 ppm 4,000 mg/m³ (AEGL-2)","2,500(1) ppm 11,000 mg/m³ (AEGL-3)",1 ppm = 4.34 mg/m³,,
95-47-6,Xylenes: o-Xylene,,8.56,100 ppm (435 mg/m³),100 ppm (ST) 150 ppm,100 ppm (ST) 150 ppm,,900 ppm,130 ppm 560 mg/m³ (AEGL-1),"920 ppm 4,000 mg/m³ (AEGL-2)","2,500(1) ppm 11,000 mg/m³ (AEGL-3)",1 ppm = 4.34 mg/m³,,
