Sampling Methods,,,,,,,,,,,
method_id (PK),agency,target_matrix,method_number,method_name,media_type,media_in_airkit,sample_duration,hold_time,analytical_technique,notes,url
NIOSH-7048,NIOSH,,,,"Cassette (SKC part # 225-3-01) containing one MCE filter
(37 mm, 0.8-μm pore size)",,,Stable,,,
NIOSH-7056,NIOSH,,,,,,,,,,
NIOSH-7300,NIOSH,,,,"Cassette (SKC part # 225-3-01) containing one MCE filter
(37 mm, 0.8-μm pore size)",,,Stable,,,
NIOSH-7301,NIOSH,,,,"Cassette (SKC part # 225-3-01) containing one MCE filter (37 mm, 0.8-μm pore size)",,,Stable,,,
NIOSH-7303,NIOSH,,,,,,,,,,
NIOSH-7400,NIOSH,,,,"25-mm PCM cassette, 0.45-1.2 µm MCE filter
(0.8-µm commonly used)",,,Stable,,,
NIOSH-7401,NIOSH,,,,"PTFE Filter (1.0-µm pore size),
(SKC part # 225-17-01)",,,at least 7 days @ 25 °C,,,
NIOSH-7402,NIOSH,,,,"25-mm TEM cassette, 0.45-1.2 µm MCE filter
(0.45-µm recommended)",,,Stable,,,
NIOSH-7605,NIOSH,,,,37 mm cassette with 5-μm PVC filter (SKC part # 225-803),,,"2 weeks @ room temperature,
4 weeks refrigerated",,,
NIOSH-7900,NIOSH,,,,"Cassette (SKC part # 225-3-01) containing one MCE filter
(37 mm, 0.8-μm pore size)",,,Stable if refrigerated,,,
NIOSH-7904,NIOSH,,,,"37 mm cassette (SKC part # 225-2LF) with 1.0-μm pore PTFE filter
(SKC part # 225-3705) and impinger
(SKC part #s 225-36-2 and 225-2)
with 15 mL of 0.1 N KOH",,,"5 days, particulates on filter may liberate HCN gas",,,
NIOSH-7905,NIOSH,,,,"Sorbent Tube (Tenax)
(SKC part # 226-35-03)
(add MCE filter to exclude particulate phosphorus if expected in sample)",,,7 days @ 25 ⁰C,,,
NIOSH-7906,NIOSH,,,,"37-mm cellulose ester membrane filter, 0.8-μm pore size, with Na2CO3-treated cellulose pad
(SKC part # 225-9031)",,,1-2 L/min,,,
NIOSH-7907,NIOSH,,,,"37 mm diameter quartz fiber filter coated with Na2CO3; and 37 mm diameter quartz fiber pre-filter
(SKC part # 225-9032)",,,"at least 7 days @ 20 °C or
28 days @ 4 °C",,,
NIOSH-7908,NIOSH,,,,"37-mm quartz fiber filter in acid-resistant cassette
(SKC part # 225-9033)",,,at least 7 days @ 20 °C; or 28 days at 4 °C,,,
OSHA-ID-05,NIOSH,,,,,,,,,,
OSHA-ID-34,OSHA,,,,,,,,,,
OSHA-ID-52,OSHA,,,,,,,,,,
OSHA-ID-54,OSHA,,,,,,,,,,
OSHA-ID-56,OSHA,,,,"CSC tube (100/50 mg) coated with 10% t-butylcatechol
(SKC part # 226-73)",,,18 days @ refrigerated temperatures,,,
OSHA-ID-61,OSHA,,,,"Sorbent Tube (XAD-2), SKC part # 226-117",,,at least 19 days @ 23 ⁰C,,,
OSHA-ID-89,OSHA,,,,,,,,,,
OSHA-ID-111,OSHA,,,,"Cassette (SKC part # 225-3-01) containing one MCE filter
(37 mm, 0.8-μm pore size)",,,Not Determined,,,
OSHA-ID-121,OSHA,,,,,,,,,,
OSHA-ID-145,OSHA,,,,37-mm cassette with 0.8-µm MCE filter,,,ASAP,,,
OSHA-ID-188,OSHA,,,,"Sorbent Tube
Anasorb 747 (sulfuric acid)
(SKC part # 226-29)",,,29 days @ 25 °C,,,
OSHA-ID-209,OSHA,,,,Direct Reading Instrument with data logger,,,NA,,,
OSHA-ID-212,OSHA,,,,"Anasorb 747 Sorbent Tube
(SKC part # 226-82)",,,29 days @ 20-25 °C - CHECK,,,
OSHA-ID-1005,OSHA,,,,,,,,,,
OSHA-ID-1008,OSHA,,,,"Sorbent tube specific to hydrogen sulfide determination,
(SKC part # 226-177)",,,at least 17 days @ ambient temperatures,,,
OSHA-ID-1019,OSHA,,,,"Two 25-mm quartz filters, coated with titanium oxysulfate
(SKC part # 225-9030)",,,"18 days @ ambient temperatures, protect from exposure to light",,,
OSHA-ID-PV2010,OSHA,,,,Two Carbosieve S-III tubes in series,,,stable,,,
OSHA-ID-PV2040,OSHA,,,,"Anasorb 747 Sorbent Tube
(SKC part # 226-82)",,,14 days when refrigerated,,,
OSHA-PV2077,OSHA,,,,Two Carbosieve S-III tubes in series,,,"ND
(98.1% recovery after 15 days at room temperature)",,"Mathod only partialy validated, presented here for informational use only",
OSHA-ID-PV2120,OSHA,,,,,,,,,,
Colorimetric-Detector-Tube,Other,,,Colorimetric Detector Tube,"Colorimetric Tube
(SKC part # 800-20001)",,,NA,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
