Contaminant,Analytical Method,Matrix,Sampling Media,Holding Times,Flow Rate,Sample Volume,
Hydrogen Cyanide,NIOSH Method 6010,Air,"Solid Sorbent Soda Lime Tube,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           SKC part # 226-210",at least 14 days @ 25 °C,0.025-0.05 L/min,2-90 L @ 5 ppm,
Hydrogen Sulfide,OSHA Method 1008,Air,"Sorbent tube specific to hydrogen sulfide determination,
SKC part # 226-177",at least 17 days @ ambient temperatures,0.05-0.5 L/min,5-12 L,
"Liquefied Petroleum Gas
(LPG)",Colorimetric detector tube,Air,"Colorimetric Tube, SKC part # 810-100A",NA,NA,NA,
Mercury,"NIOSH Method 6009
(includes elemental mercury)",Air,"Anasorb C300 Solid Sorbent Tube,
SKC part # 226-17-1A
(add MCE filter to exclude particulate mercury if needed)",30 days @ 25 °C,0.15 to 0.25 L/min,2-100 L @ 0.5 mg/m3,
,EPA Method 7474,"Sediment &
Tissue Samples",4- or 8-oz. glass jar,28 days @ 6 °C,NA,NA,
,EPA Method 7471A or 7471B,Soil/Waste,4- or 8-oz. glass jar,28 days @ 6 °C,NA,NA,
,EPA Method 7470A,Water,250-mL poly preserved with HNO3,28 days,NA,NA,
"Mercury, as particulates",OSHA Method ID-145,Air,37 mm cassette with 0.8 µm MCE filter,As soon as possible,2.0 L/min,10 L,
Methane,Colorimetric detector tube,Air,"Colorimetric Tube, SKC part # 800-20001",NA,NA,NA,
Methyl Bromide,OSHA Method PV2040,Air,"Anasorb 747 Sorbent Tubes,
SKC part # 226-82",14 days when refrigerated,0.05-0.2 L/min,3 L,
Nitrate,EPA Method 300.0,Water,250-mL poly,48 hours @ 4 °C,NA,NA,
"Nitric Oxide, Nitrogen Dioxide",NIOSH Method 6014,Air,"Sorbent Tubes, SKC part # 226-40A",at least 7 days @ 25 °C,"NO: 0.025 L/min
and
NO2: 0.025-0.2 L/min",1.5-6 L,
Nitrite,EPA Method 300.0,Water,250-mL poly,48 hours @ 4 °C,NA,NA,
Nitrogen as Nitrate + Nitrite ions,EPA Method 300.0,Water,250-mL poly preserved with H2SO4,28 days @ 6 °C,NA,NA,
"Nitrogen, Ammonia","SM 4500-NH3-D or
EPA Method 350.3",Soil/Waste,8-oz. glass jar,28 days @ 6 °C,NA,NA,
,"SM 4500-NH3-D or
EPA Method 350.3",Water,250-mL poly preserved with H2SO4,28 days @ 6 °C,NA,NA,
"Nitrogen, Total Kjeldahl (TKN)",SM 4500-Norg,Soil/Waste,8-oz. glass jar,28 days @ 6 °C,NA,NA,
,"SM 4500-Norg or
EPA Method 351.4",Water,1-L glass jar preserved with H2SO4,up to 28 days @ 6 °C,NA,NA,
"Non-Volatile acids
(H3PO4, H2SO4)",NIOSH Method 7908,Air,"37-mm quartz fiber filter in acid-resistant cassette, SKC part # 225-9033",at least 7 days @ 20 °C; or 28 days at 4 °C,1-5 L/min,15-2000 L,
Organochlorine Pesticides,EPA Method 8081A,Soil/Waste,8-oz. glass jar,14 days @ 6 °C,NA,NA,
,EPA Method 8081A,Water,1-L amber glass jar,7 days @ 6 °C,NA,NA,
"Organophosphorus
Pesticides",EPA Method 8141B,Soil/Waste,8-oz. glass jar,7 days @ 6 °C,NA,NA,
,EPA Method 8141B,Water,"1-L amber glass jar; pH adjusted to 5 to 8, if needed (using NaOH or H2SO4)",7 days @ 6 °C,NA,NA,
PAHs,EPA Method TO-13A,Air,PUF Sorbent Tube (SKC part # 226-131) with quartz fiber filter                                                                                                                                                                                                                                                                                                                                                                                                                                                           (SKC part # 225-1808),7 days @ <4 °C; wrap in foil to protect from UV and fluorescent light,0.225 m3/min for up to 24 hours,"At least 300 m3 over a 24 hour period, or determined by user (as needed to achieve the project's RLs).",
