Documents,,,,,,
device_type,document_type,category,sub_folder,file_url,isFolder,folder
2026 7-day Static Toxicity-Larvel,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2026%207-day%20Static%20Toxicity-Larvel_SOP_v1.0.PDF,False,Website PDFs
2027 96-hr Static Toxicity,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2027%2096-hr%20Static%20Toxicity_SOP_v1.0.PDF,False,Website PDFs
2028 10-day Chronic Toxicity,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2028%2010-day%20Chronic%20Toxicity_SOP_v1.0.PDF,False,Website PDFs
2030 Chlorophyll Determination,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2030%20Chlorophyll%20Determination_SOP_v1.0.PDF,False,Website PDFs
2033 Plant Protein Determination,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2033%20Plant%20Protein%20Determination_SOP_v1.0.PDF,False,Website PDFs
2034 Plant Biomass Determination,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2034%20Plant%20Biomass%20Determination_SOP_v1.0.PDF,False,Website PDFs
2035 Plant Peroxidase Activity,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2035%20Plant%20Peroxidase%20Activity_SOP_v1.0.PDF,False,Website PDFs
2037 Terrestrial Plant Community Sampling,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2037%20Terrestrial%20Plant%20Community%20Sampling_SOP_v1.0.PDF,False,Website PDFs
2036 Tree Coring and Interpretation,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2036%20Tree%20Coring%20and%20Interpretation_SOP_v1.0.PDF,False,Website PDFs
2038 Vegetation Assessment Field Protocol,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2038%20Vegetation%20Assessment%20Field%20Protocol_SOP_v1.0.PDF,False,Website PDFs
2042 Soil Gas Sampling,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2042%20Soil%20Gas%20Sampling_SOP_v1.0.pdf,False,Website PDFs
2043 Water Level Measurements,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2043%20Water%20Level%20Measurements_SOP_v1.0.PDF,False,Website PDFs
2044 Well Development,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2044%20Well%20Development_SOP_v1.0.PDF,False,Website PDFs
2045 Controlled Pumping Test,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2045%20Controlled%20Pumping%20Test_SOP_v1.0.PDF,False,Website PDFs
2046 Slug Tests,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2046%20Slug%20Tests_SOP_v1.0.PDF,False,Website PDFs
2048 Monitor Well Installation,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2048%20Monitor%20Well%20Installation_SOP_v1.0.PDF,False,Website PDFs
2101 Retrieving Meteorological Information,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2101%20Retrieving%20Meteorological%20Information_SOP_v1.0.PDF,False,Website PDFs
2050 Model 5400 Georpobe Operation,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2050%20Model%205400%20Georpobe%20Operation_SOP_v1.0.PDF,False,Website PDFs
2102 Tedlar Bag Sampling,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2102%20Tedlar%20Bag%20Sampling_SOP_v1.0.pdf,False,Website PDFs
2103 Charcoal Tube Sampling in Ambient Air,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2103%20Charcoal%20Tube%20Sampling%20in%20Ambient%20Air_SOP_v1.0.pdf,False,Website PDFs
2104 Tenax-CMS Tube Sampling,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2104%20Tenax-CMS%20Tube%20Sampling_SOP_v1.0.pdf,False,Website PDFs
"2109 Photovac GC Analysis for Soil, Water",SOP,v1.0,ERT Methods,"https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2109%20Photovac%20GC%20Analysis%20for%20Soil,%20Water_SOP_v1.0.PDF",False,Website PDFs
"2108 Photovac 10S50, 10S55, and 10S70 GC",SOP,v1.0,ERT Methods,"https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2108%20Photovac%2010S50,%2010S55,%20and%2010S70%20GC_SOP_v1.0.PDF",False,Website PDFs
2107 Photovac 10A10 Portable GC,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2107%20Photovac%2010A10%20Portable%20GC_SOP_v1.0.PDF,False,Website PDFs
2110 Microsensor P200,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2110%20Microsensor%20P200_SOP_v1.0.PDF,False,Website PDFs
2114 PID HNU,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2114%20PID%20HNU_SOP_v1.0.PDF,False,Website PDFs
2119 Air Sampling for Metals,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2119%20Air%20Sampling%20for%20Metals_SOP_v1.0.pdf,False,Website PDFs
2120 Remote Meteorological Station,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2120%20Remote%20Meteorological%20Station_SOP_v1.0.PDF,False,Website PDFs
2123 ALOHA Air Model,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2123%20ALOHA%20Air%20Model_SOP_v1.0.PDF,False,Website PDFs
2121 High Volume Poly Sampling,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2121%20High%20Volume%20Poly%20Sampling_SOP_v1.0.PDF,False,Website PDFs
2124 CAMEO 3.0 Software System,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/2124%20CAMEO%203.0%20Software%20System_SOP_v1.0.pdf,False,Website PDFs
REAC2042 Soil Gas Sampling,SOP,v1.0,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/REAC2042%20Soil%20Gas%20Sampling_SOP_v1.0.pdf,False,Website PDFs
REAC2082 Construction and Installation wells,SOP,1,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/REAC2082%20Construction%20and%20Installation%20wells_SOP_1.0.pdf,False,Website PDFs
SOP Index,ERT ToC,01,ERT Methods,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/ERT%20Methods/SOP%20Index_ERT%20ToC_01.pdf,False,Website PDFs
Annual Kit Maintenance Inspection 08-06-22,Annual Kit Maintenance Inspection 08-06-22,Annual Kit Maintenance Inspection 08-06-22,HazCat,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/HazCat/Annual%20Kit%20Maintenance%20Inspection%2008-06-22.docx?d=wcf3727bbfbf24d2ebbf245c8035ffffe,False,Website PDFs
HAZCAT Kit,QSG,v1.0,HazCat,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/HazCat/HAZCAT%20Kit_QSG_v1.0.pdf,False,Website PDFs
Hazards,Chart,2022-09-17 00:00:00,HazCat,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/HazCat/Hazards_Chart_09-17-22.pdf,False,Website PDFs
HazCat,Anions Chart,2020-12-26 00:00:00,HazCat,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/HazCat/HazCat_Anions%20Chart_12-26-20.pdf,False,Website PDFs
HazCat,Flammable Solids Chart,2022-09-22 00:00:00,HazCat,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/HazCat/HazCat_Flammable%20Solids%20Chart_09-22-22.pdf,False,Website PDFs
HazCat,Beilstein Test Kit,v1.0,HazCat,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/HazCat/HazCat_Beilstein%20Test%20Kit_v1.0.pdf,False,Website PDFs
HazCat,Cannabis Grow Liquids Chart,2019-11-20 00:00:00,HazCat,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/HazCat/HazCat_Cannabis%20Grow%20Liquids%20Chart_11-20-19.pdf,False,Website PDFs
HazCat,Liquid Acids Chart,2021-01-14 00:00:00,HazCat,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/HazCat/HazCat_Liquid%20Acids%20Chart_01-14-21.pdf,False,Website PDFs
HazCat,Inorganic Analysis Summary Form,2021-03-04 00:00:00,HazCat,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/HazCat/HazCat_Inorganic%20Analysis%20Summary%20Form_03-04-21.pdf,False,Website PDFs
Hazcat,Manual,2022F,HazCat,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/HazCat/Hazcat_Manual_2022F.pdf,False,Website PDFs
HazCat,Main Liquids Chart,2022-08-05 00:00:00,HazCat,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/HazCat/HazCat_Main%20Liquids%20Chart_08-05-22.pdf,False,Website PDFs
HazCat,Main Solids Chart,2022-01-27 00:00:00,HazCat,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/HazCat/HazCat_Main%20Solids%20Chart_01-27-22.pdf,False,Website PDFs
HazCat,Organic Analysis Summary Form,2021-05-28 00:00:00,HazCat,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/HazCat/HazCat_Organic%20Analysis%20Summary%20Form_05-28-21.pdf,False,Website PDFs
HazCat,Proteins Chart,2021-03-10 00:00:00,HazCat,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/HazCat/HazCat_Proteins%20Chart_03-10-21.pdf,False,Website PDFs
HazCat,Quick RCRA Chart,2022-09-24 00:00:00,HazCat,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/HazCat/HazCat_Quick%20RCRA%20Chart_09-24-22.pdf,False,Website PDFs
HazCat,QuickCat DOT Hazards Chart,2022-09-17 00:00:00,HazCat,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/HazCat/HazCat_QuickCat%20DOT%20Hazards%20Chart_09-17-22.pdf,False,Website PDFs
AreaRAE Safety Suite,Viper Guide,v1.0,Viper,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Viper/AreaRAE%20Safety%20Suite_Viper%20Guide_v1.0.pdf,False,Website PDFs
draft QSG X-site,Manual,v1.0,Viper,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Viper/draft%20QSG%20X-site_Manual_v1.0.pdf,False,Website PDFs
Viper DM 2.0,User Guide,12.24,Viper,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Viper/Viper%20DM%202.0_User%20Guide_12.24.pdf,False,Website PDFs
DustTraks,Viper Guide,v1.0,Viper,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Viper/DustTraks_Viper%20Guide_v1.0.pdf,False,Website PDFs
MANUAL VIPER,User Guide,v1.0,Viper,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Viper/MANUAL%20VIPER_User%20Guide_v1.0.pdf,False,Website PDFs
SPM Flex Xsite,Viper Guide,v2.0,Viper,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Viper/SPM%20Flex%20Xsite_Viper%20Guide_v2.0.pdf,False,Website PDFs
Smart Gateway,Guide,Summer 2020,Viper,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Viper/Smart%20Gateway_Guide_Summer%202020.pdf,False,Website PDFs
Viper Setup-AreaRAE Safety Suite,QSG,v1.0,Viper,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Viper/Viper%20Setup-AreaRAE%20Safety%20Suite_QSG_v1.0.pdf,False,Website PDFs
Viper Setup-SPM Flex With Gateway,QSG,v1.0,Viper,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Viper/Viper%20Setup-SPM%20Flex%20With%20Gateway_QSG_v1.0.pdf,False,Website PDFs
Viper-ProRae Guardian Setup,QSG,v1.0,Viper,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Viper/Viper-ProRae%20Guardian%20Setup_QSG_v1.0.pdf,False,Website PDFs
Viper-SmartGateway 2020,QSG,v1.0,Viper,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Viper/Viper-SmartGateway%202020_QSG_v1.0.pdf,False,Website PDFs
"1,10-phenanthroline,monohydrate","1,10-phenanthroline,monohydrate","1,10-phenanthroline,monohydrate",Chemical Data Sheets,"https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/1,10-phenanthroline,monohydrate.PDF",False,Website PDFs
"1,10-phenanthrolineinethanol","1,10-phenanthrolineinethanol","1,10-phenanthrolineinethanol",Chemical Data Sheets,"https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/1,10-phenanthrolineinethanol.pdf",False,Website PDFs
"1,3Butandiene","1,3Butandiene","1,3Butandiene",Chemical Data Sheets,"https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/1,3Butandiene.pdf",False,Website PDFs
"11ComponetGasMix,BalanceNtirogen","11ComponetGasMix,BalanceNtirogen","11ComponetGasMix,BalanceNtirogen",Chemical Data Sheets,"https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/11ComponetGasMix,BalanceNtirogen.pdf",False,Website PDFs
2-FluorobiphenylStandard,2-FluorobiphenylStandard,2-FluorobiphenylStandard,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/2-FluorobiphenylStandard.pdf,False,Website PDFs
5-(4-Dimethylaminobenzylidene)rhodanine,5-(4-Dimethylaminobenzylidene)rhodanine,5-(4-Dimethylaminobenzylidene)rhodanine,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/5-(4-Dimethylaminobenzylidene)rhodanine.pdf,False,Website PDFs
8040PhenolsMix#1,8040PhenolsMix#1,8040PhenolsMix#1,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/8040PhenolsMix%231.pdf,False,Website PDFs
8040PhenolsMix#2,8040PhenolsMix#2,8040PhenolsMix#2,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/8040PhenolsMix%232.pdf,False,Website PDFs
8040SurrogateMix,8040SurrogateMix,8040SurrogateMix,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/8040SurrogateMix.pdf,False,Website PDFs
8240_8260SystemPerformanceCheckMix,8240_8260SystemPerformanceCheckMix,8240_8260SystemPerformanceCheckMix,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/8240_8260SystemPerformanceCheckMix.pdf,False,Website PDFs
8270MegaMix,8270MegaMix,8270MegaMix,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/8270MegaMix.pdf,False,Website PDFs
"8260AInternalStandardMixforPCE,BTEX","8260AInternalStandardMixforPCE,BTEX","8260AInternalStandardMixforPCE,BTEX",Chemical Data Sheets,"https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/8260AInternalStandardMixforPCE,BTEX.pdf",False,Website PDFs
ABSCement,ABSCement,ABSCement,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/ABSCement.pdf,False,Website PDFs
Acetone,Acetone,Acetone,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/Acetone.pdf,False,Website PDFs
AceticAcid,AceticAcid,AceticAcid,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/AceticAcid.pdf,False,Website PDFs
Acetonitrile,Acetonitrile,Acetonitrile,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/Acetonitrile.pdf,False,Website PDFs
Acetylene,Acetylene,Acetylene,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/Acetylene.pdf,False,Website PDFs
"Aerokroil,Aerosol","Aerokroil,Aerosol","Aerokroil,Aerosol",Chemical Data Sheets,"https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/Aerokroil,Aerosol.pdf",False,Website PDFs
AirToolOil,AirToolOil,AirToolOil,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/AirToolOil.pdf,False,Website PDFs
Agri-ScreenTicketActivatorAmpoules_01,Agri-ScreenTicketActivatorAmpoules_01,Agri-ScreenTicketActivatorAmpoules_01,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/Agri-ScreenTicketActivatorAmpoules_01.pdf,False,Website PDFs
Alconox,Alconox,Alconox,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/Alconox.pdf,False,Website PDFs
AlkalineTartrate,AlkalineTartrate,AlkalineTartrate,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/AlkalineTartrate.pdf,False,Website PDFs
AllPurposePipeCement,AllPurposePipeCement,AllPurposePipeCement,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/AllPurposePipeCement.pdf,False,Website PDFs
AluminumOxide,AluminumOxide,AluminumOxide,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/AluminumOxide.pdf,False,Website PDFs
"Ammonia,TNT+830,0.02-2.5mg_L","Ammonia,TNT+830,0.02-2.5mg_L","Ammonia,TNT+830,0.02-2.5mg_L",Chemical Data Sheets,"https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/Ammonia,TNT+830,0.02-2.5mg_L.pdf",False,Website PDFs
"Ammonia,TNT+832,2-47mg_L","Ammonia,TNT+832,2-47mg_L","Ammonia,TNT+832,2-47mg_L",Chemical Data Sheets,"https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/Ammonia,TNT+832,2-47mg_L.pdf",False,Website PDFs
AmdroMoleandGopherBait,AmdroMoleandGopherBait,AmdroMoleandGopherBait,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/AmdroMoleandGopherBait.pdf,False,Website PDFs
Ammonia,Ammonia,Ammonia,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/Ammonia.pdf,False,Website PDFs
"AmmoniaCalibrationGas,50ppm,balanceN2","AmmoniaCalibrationGas,50ppm,balanceN2","AmmoniaCalibrationGas,50ppm,balanceN2",Chemical Data Sheets,"https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/AmmoniaCalibrationGas,50ppm,balanceN2.pdf",False,Website PDFs
AMMONIUM-SULFAMATE,AMMONIUM-SULFAMATE,AMMONIUM-SULFAMATE,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/AMMONIUM-SULFAMATE.pdf,False,Website PDFs
AmmoniumAcetate,AmmoniumAcetate,AmmoniumAcetate,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/AmmoniumAcetate.pdf,False,Website PDFs
AmmoniumHydroxide,AmmoniumHydroxide,AmmoniumHydroxide,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/AmmoniumHydroxide.pdf,False,Website PDFs
AmmoniumChloride,AmmoniumChloride,AmmoniumChloride,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/AmmoniumChloride.pdf,False,Website PDFs
AmmoniumIron(II)SulfatteHexahydrate,AmmoniumIron(II)SulfatteHexahydrate,AmmoniumIron(II)SulfatteHexahydrate,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/AmmoniumIron(II)SulfatteHexahydrate.pdf,False,Website PDFs
ammoniummolybdate,ammoniummolybdate,ammoniummolybdate,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/ammoniummolybdate.pdf,False,Website PDFs
AmmoniumIron(III)Citrate,AmmoniumIron(III)Citrate,AmmoniumIron(III)Citrate,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/AmmoniumIron(III)Citrate.pdf,False,Website PDFs
AmmoniumNitrate,AmmoniumNitrate,AmmoniumNitrate,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/AmmoniumNitrate.pdf,False,Website PDFs
AmmoniumPersulfate,AmmoniumPersulfate,AmmoniumPersulfate,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/AmmoniumPersulfate.pdf,False,Website PDFs
AmoniumHydroxide,AmoniumHydroxide,AmoniumHydroxide,Chemical Data Sheets,https://westonsolutions.sharepoint.com/sites/Testing/Shared%20Documents/ExB%20Link%20Testing/Website%20PDFs/Chemical%20Data%20Sheets/AmoniumHydroxide.pdf,False,Website PDFs
